Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_accountbonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtorsguarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Creditworthiness
1,0.08823500000000001,2,0,0.388357,1,1,0.333333,1,1,1.0,4,0.9107139999999999,1,3,0.0,4,0,2,1,good credit
1,0.16176500000000002,2,0,0.131011,2,3,0.333333,2,1,1.0,3,0.16071400000000002,3,1,0.333333,3,0,2,1,bad credit
0,0.294118,2,0,0.11296400000000001,1,5,1.0,1,2,0.0,1,0.464286,3,2,0.0,3,0,1,1,bad credit
1,0.294118,4,9,0.14168599999999998,5,4,1.0,1,1,0.666667,4,0.267857,3,2,0.333333,3,1,2,1,good credit
0,0.294118,2,2,0.164191,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,2,1,bad credit
1,0.117647,2,2,0.138219,5,5,0.0,2,1,0.333333,2,0.107143,1,2,0.0,3,0,2,1,bad credit
0,0.117647,3,0,0.060196000000000006,1,3,1.0,1,1,0.333333,1,0.428571,3,2,0.333333,2,1,1,1,good credit
1,0.029412,2,0,0.7871130000000001,5,1,0.0,1,1,0.333333,2,0.07142899999999999,3,2,0.0,1,0,2,1,bad credit
3,0.294118,2,3,0.31325,5,2,0.0,2,1,0.0,3,0.446429,3,2,0.333333,3,0,2,1,bad credit
0,0.205882,4,0,0.204468,1,5,0.0,2,1,1.0,1,0.25,1,1,0.666667,3,0,2,1,bad credit
3,0.205882,4,3,0.320238,1,5,0.666667,1,1,1.0,3,0.25,3,2,0.333333,3,0,2,1,good credit
1,0.470588,3,0,0.108672,1,5,1.0,1,1,1.0,4,0.678571,1,3,0.333333,3,0,2,1,bad credit
2,0.029412,2,0,0.025256,4,2,0.333333,1,1,0.333333,1,0.14285699999999998,3,2,0.0,1,0,1,2,good credit
3,0.25,0,0,0.261527,5,3,0.0,2,1,1.0,2,0.178571,1,2,0.333333,3,0,2,1,bad credit
3,0.029412,2,2,0.071146,4,3,1.0,1,1,0.333333,1,0.25,3,2,0.0,3,0,1,1,good credit
0,0.294118,2,1,0.149334,5,5,1.0,1,1,1.0,4,0.535714,1,3,0.0,3,1,2,1,good credit
0,0.294118,2,0,0.062232,5,3,1.0,2,1,0.333333,2,0.28571399999999997,3,2,0.0,3,0,1,1,bad credit
3,0.117647,2,9,0.071091,1,4,0.333333,1,1,1.0,3,0.303571,3,2,0.0,3,0,2,1,good credit
0,0.117647,2,2,0.12804000000000001,1,3,0.333333,1,1,0.0,3,0.410714,3,2,0.0,3,0,1,1,good credit
0,0.117647,2,0,0.028007,1,4,1.0,1,1,0.333333,1,0.125,3,2,0.0,3,0,1,1,bad credit
1,0.25,2,9,0.138495,2,5,1.0,1,1,0.333333,3,0.75,1,1,0.333333,2,0,1,1,bad credit
0,0.235294,4,0,0.109222,1,3,1.0,1,3,0.333333,2,0.25,1,1,0.333333,3,0,1,2,bad credit
3,0.205882,3,9,0.10559,1,3,1.0,1,1,0.333333,3,0.16071400000000002,3,2,0.0,3,0,2,1,bad credit
0,0.205882,2,2,0.132552,4,3,1.0,1,1,0.333333,3,0.16071400000000002,3,2,0.0,3,0,1,1,good credit
3,0.294118,2,1,0.133157,1,5,1.0,1,1,1.0,3,0.28571399999999997,3,2,0.0,4,0,2,1,good credit
3,0.470588,3,9,0.512931,1,2,0.0,1,1,0.0,3,0.16071400000000002,3,2,0.333333,3,0,1,1,bad credit
1,0.470588,2,3,0.133212,2,3,1.0,2,2,1.0,4,0.553571,3,3,0.0,3,0,1,1,bad credit
1,0.470588,0,3,0.195554,1,3,1.0,2,1,0.0,3,0.410714,3,2,0.0,3,0,2,1,bad credit
3,0.117647,2,0,0.089909,1,5,1.0,1,1,1.0,3,0.357143,3,2,0.0,4,0,2,1,good credit
3,0.117647,2,1,0.120777,5,2,0.333333,1,1,1.0,3,0.125,3,1,0.0,3,0,2,1,good credit
1,0.470588,0,9,0.093705,1,5,1.0,1,1,1.0,4,0.75,3,3,0.0,4,0,2,1,bad credit
0,0.117647,2,3,0.047155,1,3,0.333333,1,1,0.333333,1,0.017856999999999998,3,1,0.0,4,1,2,1,good credit
0,0.647059,2,9,0.223286,1,2,0.666667,2,1,1.0,2,0.089286,3,1,0.0,3,0,1,1,bad credit
3,0.073529,2,2,0.05849,1,5,0.0,1,1,1.0,3,0.017856999999999998,3,2,0.0,3,0,1,1,good credit
3,0.117647,2,0,0.143557,5,1,1.0,1,1,1.0,4,0.33928600000000003,3,2,0.0,4,0,2,1,good credit
3,0.117647,3,1,0.068945,1,3,1.0,1,1,1.0,1,0.392857,3,1,0.0,3,0,1,1,good credit
1,0.029412,2,0,0.7871130000000001,5,1,0.0,1,1,0.333333,2,0.07142899999999999,3,2,0.0,1,0,2,1,bad credit
3,0.205882,2,3,0.239023,1,2,0.666667,1,1,0.333333,3,0.232143,3,2,0.0,3,0,2,1,good credit
1,0.073529,2,2,0.036756,1,3,1.0,2,1,0.0,2,0.196429,3,2,0.0,3,0,1,1,bad credit
0,0.102941,4,0,0.202982,1,3,0.0,1,1,0.333333,1,0.375,3,2,0.333333,2,1,1,1,good credit
1,0.117647,2,2,0.038572,2,2,1.0,2,1,1.0,3,0.14285699999999998,1,1,1.0,3,0,1,1,bad credit
0,0.514706,4,2,0.766425,5,4,1.0,1,1,1.0,2,0.196429,3,2,0.333333,4,0,2,1,good credit
1,0.294118,2,2,0.155112,2,5,1.0,1,1,1.0,4,0.196429,3,3,0.0,3,0,1,1,good credit
3,0.294118,4,0,0.09299,4,5,1.0,1,1,1.0,1,0.732143,3,2,0.0,3,0,2,1,good credit
0,0.25,4,0,0.074392,1,5,1.0,1,1,0.666667,3,0.196429,3,2,0.333333,3,0,2,1,good credit
1,0.25,2,2,0.20501799999999998,5,4,0.333333,1,1,0.666667,3,0.28571399999999997,3,2,0.0,3,0,2,1,good credit
1,0.8235290000000001,2,0,0.393859,2,2,1.0,2,1,0.333333,2,0.089286,3,2,0.0,4,0,1,1,bad credit
0,0.205882,2,2,0.048476,1,1,1.0,2,1,0.333333,3,0.25,3,2,0.0,3,0,1,1,bad credit
2,0.294118,2,0,0.038350999999999996,1,4,1.0,1,1,0.666667,4,0.33928600000000003,1,3,0.0,3,1,1,1,bad credit
1,0.25,4,2,0.137284,4,4,0.666667,1,1,0.333333,3,0.232143,3,2,0.333333,3,0,2,1,good credit
2,0.16176500000000002,2,6,0.09106399999999999,1,5,1.0,1,1,1.0,3,0.375,3,1,0.0,4,0,2,1,good credit
2,0.294118,4,2,0.185265,5,5,1.0,1,2,1.0,4,0.017856999999999998,3,1,0.333333,3,0,1,1,good credit
0,0.294118,2,0,0.056949,5,4,1.0,2,1,1.0,4,0.232143,3,1,0.0,3,0,1,1,bad credit
0,0.205882,2,2,0.12231800000000001,1,1,1.0,1,1,0.0,3,0.107143,3,2,0.0,1,0,1,1,bad credit
1,0.294118,2,0,0.135798,1,3,0.666667,2,1,1.0,2,0.017856999999999998,3,1,0.0,2,0,2,1,bad credit
2,0.294118,4,9,0.056399,4,3,0.333333,1,1,1.0,1,0.303571,3,2,0.333333,3,0,2,1,good credit
3,0.470588,2,9,0.393914,5,5,0.666667,1,1,0.333333,2,0.321429,3,2,0.333333,3,0,1,1,good credit
3,0.117647,4,2,0.16952799999999998,1,5,0.333333,1,1,1.0,2,0.410714,2,2,0.0,3,0,1,1,good credit
1,0.117647,2,0,0.032244,2,2,1.0,2,1,0.333333,2,0.07142899999999999,1,2,0.0,2,0,1,1,bad credit
3,0.029412,4,0,0.10069299999999999,3,3,0.0,1,1,0.333333,3,0.089286,3,2,0.0,3,0,1,1,good credit
1,0.029412,2,3,0.018708000000000002,1,2,0.666667,1,1,0.666667,1,0.125,3,2,0.0,2,0,1,2,good credit
1,0.117647,2,0,0.041652999999999996,4,3,1.0,1,1,0.0,1,0.053571,3,2,0.0,3,0,1,1,good credit
3,0.470588,2,0,0.155662,5,3,1.0,1,1,1.0,1,0.303571,3,2,0.0,3,0,1,1,good credit
1,0.073529,2,2,0.039012,1,3,0.0,2,1,0.333333,3,0.178571,3,2,0.0,3,0,1,2,bad credit
0,0.029412,1,6,0.052162,1,5,1.0,2,1,1.0,4,0.28571399999999997,3,3,0.0,3,0,1,1,bad credit
3,0.117647,2,3,0.155552,1,3,0.333333,1,1,1.0,3,0.589286,3,2,0.0,3,0,2,1,good credit
3,0.117647,4,3,0.077308,1,5,0.333333,1,1,1.0,1,0.785714,3,2,0.333333,2,0,2,1,good credit
1,0.294118,2,3,0.156377,2,2,0.666667,1,1,0.333333,3,0.053571,3,1,0.0,3,0,2,1,bad credit
3,0.205882,3,2,0.085727,1,4,1.0,2,1,0.0,1,0.053571,3,2,0.0,3,0,1,1,bad credit
1,0.117647,2,0,0.035105000000000004,1,5,1.0,1,1,1.0,3,0.392857,1,2,0.0,2,1,1,1,bad credit
0,0.117647,0,3,0.327336,1,3,1.0,1,1,0.333333,2,0.16071400000000002,3,1,0.333333,3,0,2,1,bad credit
3,0.294118,2,1,0.129471,4,3,0.333333,2,1,1.0,3,0.16071400000000002,3,1,0.0,3,0,2,1,good credit
3,0.117647,2,0,0.06250700000000001,3,3,0.333333,2,1,0.333333,2,0.125,3,2,0.0,3,0,1,1,bad credit
3,0.294118,2,3,0.063993,1,3,1.0,1,1,0.333333,2,0.16071400000000002,3,2,0.0,3,0,1,1,good credit
0,0.117647,2,0,0.061737,1,4,0.333333,1,1,0.666667,3,0.303571,3,2,0.0,3,0,1,1,bad credit
0,0.294118,2,2,0.15951400000000002,1,2,1.0,1,1,0.0,4,0.053571,1,3,0.0,3,0,1,1,good credit
3,0.073529,2,2,0.05849,1,5,0.0,1,1,1.0,3,0.017856999999999998,3,2,0.0,3,0,1,1,good credit
0,0.205882,4,2,0.10311400000000001,1,3,1.0,2,1,1.0,1,0.089286,3,1,0.333333,3,0,1,1,bad credit
3,0.25,4,0,0.683944,5,5,1.0,1,1,1.0,4,0.196429,3,3,0.0,4,0,2,1,bad credit
1,0.294118,4,0,0.199626,2,2,1.0,1,1,0.333333,3,0.321429,3,2,0.0,3,0,2,1,good credit
3,0.117647,2,1,0.063993,4,4,0.666667,1,1,0.333333,2,0.642857,3,2,0.0,3,0,1,2,good credit
0,0.205882,2,0,0.039947,1,2,0.0,2,1,0.333333,3,0.07142899999999999,3,2,0.0,2,0,1,1,bad credit
0,0.647059,1,9,0.40910100000000005,1,4,0.333333,2,3,1.0,3,0.321429,3,1,0.0,3,0,1,1,bad credit
1,0.205882,2,9,0.13051600000000002,2,3,1.0,1,1,1.0,3,0.267857,3,2,0.0,3,0,1,1,good credit
3,0.25,3,2,0.073787,2,4,1.0,1,1,0.666667,1,0.267857,3,2,0.333333,4,0,1,1,good credit
1,0.117647,2,2,0.038572,2,2,1.0,2,1,1.0,3,0.14285699999999998,1,1,1.0,3,0,1,1,bad credit
1,0.647059,2,3,0.5893579999999999,4,4,0.0,1,2,0.333333,4,0.14285699999999998,1,2,0.333333,3,0,2,1,bad credit
0,0.647059,0,1,0.239628,1,5,0.666667,1,1,1.0,4,0.089286,3,3,0.333333,3,1,1,1,bad credit
1,0.647059,2,9,0.848575,1,3,0.333333,1,1,0.333333,3,0.07142899999999999,3,2,0.0,3,0,2,1,bad credit
3,0.470588,4,3,0.170133,5,5,1.0,1,1,0.333333,3,0.571429,3,2,0.0,3,0,2,1,good credit
0,0.205882,2,6,0.027512,1,1,1.0,2,1,0.0,1,0.14285699999999998,3,2,0.0,1,0,1,1,bad credit
3,0.294118,2,9,0.055464,1,4,1.0,1,1,0.0,1,0.107143,3,2,0.0,3,0,2,1,good credit
3,0.205882,4,3,0.073292,4,5,1.0,1,1,1.0,3,0.48214300000000004,3,2,0.333333,3,0,1,1,good credit
0,0.470588,2,0,0.49636800000000003,1,4,0.333333,1,1,0.0,3,0.089286,3,2,0.0,3,0,2,1,bad credit
0,0.647059,4,1,0.324254,1,5,1.0,2,1,1.0,4,0.696429,2,3,0.333333,2,0,1,1,bad credit
3,0.470588,4,2,0.378398,1,2,0.333333,2,1,1.0,2,0.07142899999999999,3,1,0.333333,3,0,2,1,bad credit
1,0.029412,3,9,0.065973,2,5,0.0,1,1,0.333333,3,0.214286,1,2,0.333333,3,1,1,1,good credit
2,0.029412,2,0,0.025256,4,2,0.333333,1,1,0.333333,1,0.14285699999999998,3,2,0.0,1,0,1,2,good credit
0,0.558824,2,3,0.204413,1,2,1.0,1,1,0.666667,3,0.267857,3,2,0.0,3,0,1,1,bad credit
3,0.08823500000000001,2,6,0.026246,3,5,1.0,1,1,1.0,4,0.48214300000000004,3,3,0.0,3,0,2,1,good credit
3,0.25,0,0,0.261527,5,3,0.0,2,1,1.0,2,0.178571,1,2,0.333333,3,0,2,1,bad credit
1,0.338235,0,9,0.443931,1,5,0.333333,2,1,1.0,4,0.410714,3,3,0.333333,4,0,2,1,bad credit
3,0.117647,3,1,0.068945,1,3,1.0,1,1,1.0,1,0.392857,3,1,0.0,3,0,1,1,good credit
0,0.294118,2,0,0.158083,1,2,1.0,2,1,0.0,2,0.14285699999999998,3,2,0.0,3,0,1,1,bad credit
0,0.117647,0,5,0.04721,1,4,1.0,1,1,0.666667,1,0.16071400000000002,3,2,0.333333,3,0,1,1,bad credit
0,0.294118,2,0,0.065588,1,4,1.0,2,1,1.0,3,0.07142899999999999,3,1,0.333333,3,0,1,1,bad credit
0,0.294118,2,0,0.158083,1,2,1.0,2,1,0.0,2,0.14285699999999998,3,2,0.0,3,0,1,1,bad credit
0,0.16176500000000002,2,4,0.056399,5,3,1.0,2,1,0.333333,3,0.089286,3,1,0.0,3,0,1,1,bad credit
3,0.029412,2,3,0.06030599999999999,2,5,0.333333,1,1,1.0,4,0.410714,1,3,0.0,3,1,2,1,good credit
3,0.205882,4,1,0.163915,5,1,0.333333,1,1,1.0,4,0.33928600000000003,3,2,0.0,4,0,2,1,good credit
1,0.073529,1,1,0.26846,1,5,0.333333,2,1,1.0,4,0.982143,1,3,0.0,4,1,2,1,bad credit
0,0.205882,2,2,0.048476,1,1,1.0,2,1,0.333333,3,0.25,3,2,0.0,3,0,1,1,bad credit
0,0.294118,1,0,0.051887,1,1,0.0,2,2,1.0,4,0.178571,3,1,0.333333,1,0,1,1,bad credit
0,0.117647,2,4,0.027017000000000003,2,1,1.0,2,1,0.666667,2,0.053571,3,2,0.0,3,0,1,1,bad credit
2,0.08823500000000001,4,0,0.029218,1,5,1.0,1,1,1.0,4,0.785714,3,3,0.333333,3,0,2,1,good credit
1,0.117647,2,0,0.041652999999999996,4,3,1.0,1,1,0.0,1,0.053571,3,2,0.0,3,0,1,1,good credit
0,0.647059,0,2,0.377958,1,3,0.666667,1,1,1.0,4,0.607143,3,3,0.333333,3,1,1,1,bad credit
3,0.294118,2,0,0.393034,1,3,0.0,1,1,1.0,2,0.428571,3,2,0.0,2,1,1,1,good credit
3,0.029412,4,3,0.081985,1,5,0.333333,1,1,0.333333,1,0.196429,3,1,0.333333,3,0,1,1,good credit
3,0.117647,0,2,0.138054,1,5,0.333333,1,1,1.0,2,0.267857,3,2,0.333333,3,0,1,1,good credit
0,0.294118,1,2,0.18168800000000002,1,4,0.666667,1,1,1.0,3,0.14285699999999998,1,2,0.0,3,0,1,1,bad credit
1,0.205882,0,0,0.111588,2,2,0.666667,2,1,0.666667,3,0.16071400000000002,3,2,0.333333,3,0,1,1,bad credit
1,0.117647,3,3,0.018433,1,3,1.0,1,2,1.0,1,0.017856999999999998,3,1,0.333333,3,0,1,1,good credit
0,0.117647,2,4,0.027017000000000003,2,1,1.0,2,1,0.666667,2,0.053571,3,2,0.0,3,0,1,1,bad credit
3,0.117647,2,2,0.083526,1,3,0.666667,1,1,0.333333,1,0.089286,3,1,0.0,2,0,1,1,good credit
1,0.16176500000000002,4,3,0.070815,5,5,1.0,1,3,1.0,1,0.553571,3,2,0.333333,3,0,2,1,good credit
1,0.382353,2,2,0.17557999999999999,2,3,0.333333,2,2,1.0,3,0.035713999999999996,3,1,0.0,3,0,1,1,bad credit
0,0.294118,2,9,0.347639,1,3,0.333333,1,1,0.333333,3,0.035713999999999996,2,2,0.0,2,0,1,1,good credit
3,0.294118,4,3,0.144272,2,5,0.666667,1,1,1.0,1,0.303571,3,2,0.0,3,1,2,1,good credit
0,0.294118,2,3,0.056784,2,3,1.0,2,1,0.333333,3,0.232143,3,2,0.0,2,0,1,1,bad credit
0,0.602941,0,9,0.636404,1,5,0.333333,1,1,1.0,3,0.178571,3,1,0.333333,3,0,1,1,bad credit
3,0.16176500000000002,3,3,0.067569,1,3,1.0,1,1,0.666667,1,0.25,1,2,0.333333,3,0,1,1,good credit
3,0.294118,2,3,0.09084400000000001,2,3,1.0,1,1,1.0,3,0.178571,3,1,0.0,4,0,2,1,good credit
0,0.058824,4,10,0.050292,1,5,0.666667,1,1,1.0,4,0.571429,1,3,0.333333,4,1,2,1,good credit
0,0.382353,2,2,0.15725799999999998,1,2,0.333333,1,1,1.0,2,0.214286,3,2,0.0,2,0,1,1,bad credit
3,0.294118,4,3,0.08809299999999999,1,4,1.0,1,3,0.333333,3,0.25,3,2,0.333333,3,0,2,1,good credit
3,0.117647,4,6,0.024816,1,3,1.0,1,1,0.333333,3,0.232143,3,2,0.333333,3,0,1,1,good credit
1,0.117647,2,0,0.032244,2,2,1.0,2,1,0.333333,2,0.07142899999999999,1,2,0.0,2,0,1,1,bad credit
0,0.117647,2,2,0.056784,1,3,0.333333,2,1,1.0,3,0.017856999999999998,3,1,0.0,3,0,1,1,bad credit
1,0.647059,0,9,0.77974,1,3,0.333333,1,1,0.333333,3,0.107143,3,2,0.0,3,0,2,1,bad credit
1,0.117647,4,0,0.158138,1,2,0.0,1,1,0.666667,1,0.535714,1,2,0.333333,2,1,1,1,good credit
0,0.294118,2,2,0.164191,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,2,1,bad credit
1,0.294118,2,0,0.060801,1,2,0.666667,2,1,1.0,3,0.107143,3,2,0.0,2,0,2,1,bad credit
0,0.647059,4,1,0.324254,1,5,1.0,2,1,1.0,4,0.696429,2,3,0.333333,2,0,1,1,bad credit
0,0.294118,2,0,0.052658,1,2,1.0,2,1,1.0,2,0.089286,3,1,0.0,3,0,1,1,bad credit
3,0.470588,2,9,0.393914,5,5,0.666667,1,1,0.333333,2,0.321429,3,2,0.333333,3,0,1,1,good credit
3,0.294118,2,3,0.164246,3,5,0.666667,1,1,0.333333,3,0.125,3,2,0.0,4,0,2,1,good credit
0,0.470588,4,1,0.516067,1,4,1.0,1,1,1.0,3,0.089286,3,2,0.333333,3,0,2,1,bad credit
3,0.8235290000000001,2,0,0.556619,1,5,0.333333,1,1,1.0,2,0.410714,3,2,0.0,4,0,2,1,good credit
3,0.205882,4,3,0.049466,4,3,1.0,1,1,0.666667,1,0.48214300000000004,3,2,0.333333,3,0,1,1,good credit
2,0.08823500000000001,2,0,0.203533,1,2,0.0,1,3,0.0,2,0.321429,3,2,0.0,2,1,1,1,good credit
0,0.294118,2,3,0.120447,1,2,1.0,2,1,1.0,1,0.28571399999999997,3,2,0.0,3,0,2,1,bad credit
3,0.470588,4,3,0.170133,5,5,1.0,1,1,0.333333,3,0.571429,3,2,0.0,3,0,2,1,good credit
0,0.205882,2,3,0.060251,1,3,1.0,1,1,0.666667,1,0.125,1,2,0.0,3,0,1,1,bad credit
3,0.147059,3,0,0.030373,1,3,1.0,1,1,0.333333,3,0.14285699999999998,3,2,0.333333,2,0,1,1,good credit
0,0.073529,2,3,0.061405999999999995,1,2,0.666667,2,1,1.0,2,0.053571,3,1,0.0,3,0,1,1,bad credit
1,0.382353,2,2,0.17557999999999999,2,3,0.333333,2,2,1.0,3,0.035713999999999996,3,1,0.0,3,0,1,1,bad credit
3,0.117647,2,2,0.048036,3,3,1.0,2,1,1.0,3,0.178571,3,1,0.0,2,0,1,1,bad credit
1,0.338235,3,1,0.31446,1,5,0.0,1,1,0.333333,3,0.196429,3,2,0.333333,4,0,2,1,good credit
1,0.470588,3,0,0.108672,1,5,1.0,1,1,1.0,4,0.678571,1,3,0.333333,3,0,2,1,bad credit
1,0.470588,2,6,0.11131300000000001,1,4,0.666667,1,1,0.0,3,0.232143,3,2,0.333333,3,1,1,1,good credit
0,0.294118,3,3,0.077528,1,2,1.0,2,1,0.333333,3,0.178571,3,1,0.0,2,0,2,1,bad credit
1,0.117647,2,3,0.067899,5,3,0.333333,1,1,0.0,1,0.107143,3,2,0.0,3,0,2,1,bad credit
3,0.029412,1,0,0.029327999999999996,5,3,0.0,1,3,0.333333,1,0.125,2,2,0.0,2,1,1,1,good credit
1,0.338235,2,9,0.20166199999999998,1,3,1.0,1,1,0.333333,3,0.303571,3,2,0.0,3,1,2,1,bad credit
0,0.117647,2,2,0.055684000000000004,5,5,0.333333,1,1,1.0,2,0.535714,3,2,0.0,2,0,2,1,good credit
1,0.205882,4,9,0.090074,5,3,1.0,1,1,1.0,1,0.16071400000000002,1,2,0.333333,3,0,1,1,good credit
3,0.029412,2,3,0.102234,1,4,0.333333,1,1,0.333333,1,0.178571,3,1,0.0,3,0,1,1,good credit
0,0.647059,4,1,0.324254,1,5,1.0,2,1,1.0,4,0.696429,2,3,0.333333,2,0,1,1,bad credit
1,0.294118,2,3,0.145593,2,2,0.333333,1,1,0.0,3,0.178571,3,2,0.0,3,0,1,1,good credit
2,0.382353,4,3,0.187411,5,5,1.0,1,1,1.0,2,0.535714,2,2,0.333333,2,0,1,1,good credit
0,0.029412,4,2,0.08924800000000001,1,1,1.0,1,1,1.0,4,0.303571,3,3,0.666667,4,0,2,1,good credit
0,0.647059,2,9,0.223286,1,2,0.666667,2,1,1.0,2,0.089286,3,1,0.0,3,0,1,1,bad credit
